category,item,manufacturer,model,quantity,voltage_or_rating,interface,vendor_url,notes
controller,Raspberry Pi,Raspberry Pi,3 Model B v1.2,1,5 V,GPIO/USB/Ethernet/Wi-Fi/Bluetooth,,Controller and logger
monitoring,USB-to-CAN adapter,DSD TECH,SH-C31G,1,USB powered,USB Type-B/CAN terminal block,https://www.deshide.com/product-details_SH-C31G.html,Preferred battery CAN interface; isolated cabled version based on CANable 2.0; validate Eco-Worthy CAN protocol before relying on it
monitoring,USB-to-RS485/422 adapter,Waveshare,USB TO RS485/422 Industrial Grade Isolated Converter,1,USB powered,USB/RS485/RS422 screw terminal,https://www.waveshare.com/usb-to-rs485-422.htm,RS485 fallback for battery BMS communication; isolated and jumper-configurable 120R termination
monitoring,USB-to-RS485 adapter,TBD,TBD isolated USB-RS485 adapter,1,USB powered,USB/RJ11 breakout to Magnum RS485 network,,Dedicated Magnum inverter network pilot adapter; keep separate from battery RS485 bus
monitoring,RJ45 male screw-terminal breakout,Poyiccot,90 degree RJ45 male to 8 pin screw terminal adapter,1,RJ45 low-voltage comms,RJ45 male / screw terminal,,Experimentation and pinout probing only; avoid final strain on battery port
monitoring,RJ45 female screw-terminal breakout,Poyiccot,RJ45 8P8C female jack to 8 pin screw terminal connector,2,RJ45 low-voltage comms,RJ45 female / screw terminal,,Bench wiring and adapter-side breakout for CAN and RS485
storage,Rack battery,Eco-Worthy,Cubix 100,2,48 V 100 Ah each,Bluetooth/Wi-Fi/RS485/CAN/RS232,,Rack-mount LiFePO4 batteries with built-in 100 A BMS
charging,Charge controller,Midnite Solar,Classic 200,1,48 V battery system / PV input TBD,TBD,,Legacy solar charge controller
conversion,Inverter/charger,Magnum Energy / MagnaSine,4448,1,48 V DC / AC rating TBD,TBD,,Confirm exact model label and monitoring interface
monitoring,Battery remote monitor,Eco-Worthy,ESM-100,1,Battery accessory powered,Battery monitor link,,Arrived with battery packs; displays voltage current and SOC
monitoring,Battery monitor / shunt,MidNite Solar,WhizBang Jr candidate,0,TBD,Classic accessory / shunt,,Optional independent cross-check; defer unless BMS/ESM-100 telemetry is incomplete or Classic charge control needs shunt data
monitoring,Temperature sensor,Generic,DS18B20 waterproof probe,TBD,3.3 V,1-Wire GPIO,,Battery/rack enclosure air heater plate and outside ambient temperature
monitoring,Temperature/humidity sensor,ASAIR,AM2302 / DHT22,1,3.3-5 V,GPIO single-wire,,Utility-room ambient humidity and temperature; not for safety cutoff
temperature-control,Heating mat pair,AliExpress,V19 fused silicone heating pad pair,1 set,48 V / 200 W,Switched 48 V DC,,Pair wired in series for 48 V; candidate battery compartment heater
temperature-control,Thermostat controller,TBD,Dual relay heat/cool temperature controller,1,12 V control preferred,Relay outputs,,Owns heat and ventilation setpoints; Pi remains supervisory
temperature-control,DC SSR,Sensata/Crydom,EL100D10-12 candidate,1,3-100 VDC 10 A output / 10-14 VDC input,12 V control,,Preferred heater switch class; use driver if opto board current is marginal
temperature-control,Manual disconnect / breaker,MidNite Solar,MNEPV10 or similar,1,10 A 100-150 VDC preferred,DC breaker,,Heater branch protection and service disconnect
temperature-control,GPIO optocoupler board,Generic,8-channel PC817 isolation board,1,3.3-30 V signal / 10 mA output per channel,GPIO isolation,,Signal-level only; do not switch heater load directly
temperature-control,Resettable thermal cutoff,TBD,NC bimetal thermal switch,1,60 C,Thermal switch,,Mount on heater spreader plate in SSR control path
temperature-control,One-shot thermal fuse,TBD,Thermal cutoff fuse,1,72-84 C,Thermal fuse,,Final backup near heater mat
temperature-control,Ventilation fan,TBD,12 V DC fan,1,TBD,12 V control,,Warm-weather enclosure ventilation candidate
temperature-control,Vent damper,TBD,Normally closed backdraft or motorized damper,1,TBD,Mechanical / 12 V control,,Avoid permanently open winter vent
control,Relay or contactor,TBD,TBD,TBD,TBD,TBD,,Controlled output
